,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugar_percent,price_percent,win_percent
chocolate,1.0,-0.7417210588438837,0.2498753473199239,0.3778235673331377,0.2548918323914012,0.341209783599645,-0.34417690721160166,0.5974211396032368,-0.33967519386975675,0.10416906216053162,0.5046753529576842,0.6365167485397064
fruity,-0.7417210588438837,1.0,-0.3354853836360149,-0.39928014338782974,-0.26936712313631034,-0.26936712313631034,0.39067750473670737,-0.5150655814471485,0.2997252159581437,-0.03439295892375102,-0.4309685346625326,-0.3809381370601432
caramel,0.2498753473199239,-0.3354853836360149,1.0,0.05935613682092555,0.3284927980493561,0.2131130962551607,-0.12235512675491643,0.3339600197875761,-0.26958501190685263,0.22193334584888932,0.25432708588126746,0.21341629556767971
peanutyalmondy,0.3778235673331377,-0.39928014338782974,0.05935613682092555,1.0,0.21311309625516078,-0.01764630733322987,-0.20555661294825955,0.26041960092243627,-0.20610931658252452,0.08788926974217445,0.3091532331792368,0.40619220218098284
nougat,0.2548918323914012,-0.26936712313631034,0.3284927980493561,0.21311309625516078,1.0,-0.08974358974358972,-0.13867504905630734,0.5229763603684903,-0.3103388371943955,0.12308135295700218,0.1531964305675793,0.1993752988015667
crispedricewafer,0.341209783599645,-0.26936712313631034,0.2131130962551607,-0.01764630733322987,-0.08974358974358972,1.0,-0.13867504905630731,0.4237509348521478,-0.22469337887776036,0.06994968732783281,0.3282653911819205,0.3246796513766845
hard,-0.34417690721160166,0.39067750473670737,-0.12235512675491643,-0.20555661294825955,-0.13867504905630734,-0.13867504905630731,1.0,-0.2651650429449552,0.014531721951587856,0.09180974787393897,-0.24436534093921267,-0.31038157535722805
bar,0.5974211396032368,-0.5150655814471485,0.3339600197875761,0.26041960092243627,0.5229763603684903,0.4237509348521478,-0.2651650429449552,1.0,-0.5934089200049686,0.0999851582188724,0.5184065372702467,0.42992932818934815
pluribus,-0.33967519386975675,0.2997252159581437,-0.26958501190685263,-0.20610931658252452,-0.3103388371943955,-0.22469337887776036,0.014531721951587856,-0.5934089200049686,1.0,0.04552282303429506,-0.22079363203210645,-0.24744786760290383
sugar_percent,0.10416906216053162,-0.03439295892375102,0.22193334584888932,0.08788926974217445,0.12308135295700218,0.06994968732783281,0.09180974787393897,0.0999851582188724,0.04552282303429506,1.0,0.32970638758895504,0.2291506571280064
price_percent,0.5046753529576842,-0.4309685346625326,0.25432708588126746,0.3091532331792368,0.1531964305675793,0.3282653911819205,-0.24436534093921267,0.5184065372702467,-0.22079363203210645,0.32970638758895504,1.0,0.3453254099676848
win_percent,0.6365167485397064,-0.3809381370601432,0.21341629556767971,0.40619220218098284,0.1993752988015667,0.3246796513766845,-0.31038157535722805,0.42992932818934815,-0.24744786760290383,0.2291506571280064,0.3453254099676848,1.0
