ingredient,with,without,difference,with_std,without_std,with_n,without_n
hard,40.5089818,52.418431385714285,-11.909449585714285,7.116693775885694,15.096737567747299,15,70
fruity,44.11974142105263,55.32712234042552,-11.207380919372888,10.263789897477318,15.914215938675653,38,47
pluribus,46.822780818181826,54.06640409756098,-7.24362327937915,13.272426228464958,15.409956458199197,44,41
caramel,57.34690771428571,48.93053825352112,8.416369460764592,16.191040101060143,14.11722919549608,14,71
nougat,60.05187942857144,49.44309958974359,10.60877983882785,13.828669701706561,14.556962836690117,7,78
bar,61.29541261904762,46.714394671875,14.581017947172619,11.142460293173567,13.996750515535624,21,64
peanut/almond,63.69713678571429,47.678380408450714,16.01875637726358,16.388602439531113,12.925443084891096,14,71
crisp/rice/wafer,66.170252,48.89401487179487,17.276237128205132,10.714141121294046,14.2250269280428,7,78
chocolate,60.9215294054054,42.142257,18.7792724054054,12.811123983887418,10.220959000387158,37,48
